id,email,password,fname,lname,type
12345670,vargasar@plu.edu,12345670,Arun,Vargas,S
12345671,wilkinzo@plu.edu,12345671,Zoha,Wilkinson,S
12345672,headre@plu.edu,12345672,Reily,Head,S
12345673,snidersa@plu.edu,12345673,Salim,Snider,S
12345674,bellammu@plu.edu,12345674,Muskaan,Bellamy,S
12345675,barryde@plu.edu,12345675,Demi,Barry,S
12345676,lottja@plu.edu,12345676,Jacques,Lott,S
12345677,burnetja@plu.edu,12345677,Jarod,Burnett,S
12345678,ashtonha@plu.edu,12345678,Harris,Ashton,S
12345679,lynchbo@plu.edu,12345679,Bodhi,Lynch,S
12345680,kendalam@plu.edu,12345680,Amber,Kendall,S
12345681,nunezme@plu.edu,12345681,Megan,Nunez,S
12345682,doddmo@plu.edu,12345682,Monica,Dodd,S
12345683,finchph@plu.edu,12345683,Philip,Finch,S
12345684,taylorem@plu.edu,12345684,Emma,Taylor,S
12345685,coleke@plu.edu,12345685,Kelly,Cole,S
12345686,copeca@plu.edu,12345686,Cathal,Cope,S
12345687,burkeza@plu.edu,12345687,Zak,Burke,S
12345688,scottna@plu.edu,12345688,Nataniel,Scott,S
11111112,wolffda@plu.edu,11111112,David,Wolff,F
11111113,blahakd@plu.edu,11111113,Ken,Blaha,F
11111114,lmurphy@plu.edu,11111114,Laurie,Murphy,F
11111115,caora@plu.edu,11111115,Renzhi,Cao,F
11111116,hausergj@plu.edu,11111116,George,Hauser,F
11111117,awedatka@plu.edu,11111117,Khalfalla,Awedat,F
10000041,4yearsBS@plu.edu,10000041,BS,4,S
10000042,4yearsBA@plu.edu,10000042,BA,4,S
10000031,3yearsBS@plu.edu,10000031,BS,3,S
10000032,3yearsBA@plu.edu,10000032,BA,3,S
10000020,2yearsBA@plu.edu,10000020,BA,2,S
